graine,score,invalides
736,-26.9,0
737,-25.9,0
738,-31.5,0
739,-21.1,0
740,-28.4,0
741,-22.6,0
742,-28.7,0
743,-32.8,0
744,-32.0,0
745,-60.1,0
746,-34.1,0
747,-29.5,0
748,-34.8,0
749,-32.0,0
750,-22.2,0
751,-24.6,0
752,-20.5,0
753,-38.8,0
754,-30.1,0
755,-62.2,0
756,-38.7,0
757,-41.2,0
758,-35.6,0
759,-79.3,0
760,-25.6,0
761,-21.2,0
762,-22.8,0
763,-30.7,0
764,-51.0,0
765,-37.1,0
766,-35.3,0
767,-63.8,0
768,-53.0,0
769,-51.9,0
770,-29.8,0
771,-54.2,0
772,-31.1,0
773,-29.4,0
774,-30.4,0
775,-27.0,0
776,-25.3,0
777,-30.1,0
778,-30.7,0
779,-28.9,0
780,-20.5,0
781,-29.3,0
782,-22.0,0
783,-31.7,0
784,-32.4,0
785,-27.0,0
786,-35.8,0
787,-34.0,0
788,-34.0,0
789,-28.4,0
790,-36.0,0
791,-33.0,0
792,-35.5,0
793,-24.6,0
794,-32.9,0
795,-27.8,0
796,-39.2,0
797,-27.6,0
798,-42.2,0
799,-40.2,0
800,-33.3,0
801,-27.7,0
802,-28.7,0
803,-28.7,0
804,-26.7,0
805,-22.9,0
806,-29.8,0
807,-19.2,0
808,-31.2,0
809,-33.1,0
810,-39.5,0
811,-38.4,0
812,-35.8,0
813,-28.5,0
814,-31.1,0
815,-39.7,0
816,-24.3,0
817,-35.1,0
818,-31.7,0
819,-24.1,0
820,-37.7,0
821,-25.0,0
822,-16.3,0
823,-20.9,0
824,-31.7,0
825,-31.1,0
826,-33.3,0
827,-47.8,0
828,-79.5,0
829,-37.0,0
830,-33.8,0
831,-33.2,0
832,-27.2,0
833,-41.1,0
834,-27.2,0
835,-32.8,0
836,-35.2,0
837,-40.0,0
838,-24.2,0
839,-29.2,0
840,-21.2,0
841,-30.4,0
842,-30.0,0
843,-26.6,0
844,-30.9,0
845,-22.9,0
846,-103.2,0
847,-34.3,0
848,-64.6,0
849,-27.8,0
850,-50.5,0
851,-29.3,0
852,-27.1,0
853,-40.4,0
854,-37.3,0
855,-43.9,0
856,-21.7,0
857,-24.8,0
858,-28.2,0
859,-19.6,0
860,-34.9,0
861,-24.3,0
862,-28.2,0
863,-30.7,0
864,-30.8,0
865,-44.0,0
866,-30.8,0
867,-32.4,0
868,-49.5,0
869,-29.0,0
870,-38.3,0
871,-23.2,0
872,-25.7,0
873,-26.3,0
874,-25.0,0
875,-32.2,0
876,-39.3,0
877,-25.6,0
878,-29.0,0
879,-27.6,0
880,-26.9,0
881,-26.2,0
882,-26.4,0
883,-35.2,0
884,-32.3,0
885,-35.5,0
886,-37.3,0
887,-44.4,0
888,-36.7,0
889,-36.3,0
890,-25.3,0
891,-30.6,0
892,-73.3,0
893,-91.3,0
894,-41.5,0
895,-29.8,0
896,-35.0,0
897,-28.2,0
898,-33.4,0
899,-37.4,0
900,-38.8,0
901,-21.3,0
902,-32.9,0
903,-82.2,0
904,-36.2,0
905,-34.4,0
906,-39.4,0
907,-46.8,0
908,-101.2,0
909,-31.5,0
910,-18.3,0
911,-24.6,0
912,-36.4,0
913,-29.8,0
914,-27.8,0
915,-34.2,0
916,-40.1,0
917,-31.1,0
918,-39.7,0
919,-25.5,0
920,-30.5,0
921,-28.4,0
922,-19.5,0
923,-37.7,0
924,-15.1,0
925,-35.0,0
926,-29.4,0
927,-32.1,0
928,-20.0,0
929,-42.8,0
930,-33.8,0
931,-26.9,0
932,-34.1,0
933,-34.0,0
934,-29.4,0
935,-33.9,0
936,-30.6,0
937,-36.6,0
938,-30.2,0
939,-23.0,0
940,-38.3,0
941,-25.4,0
942,-30.1,0
943,-27.3,0
944,-63.2,0
945,-28.8,0
946,-105.0,0
947,-25.3,0
948,-32.1,0
949,-26.9,0
950,-28.8,0
951,-38.5,0
952,-37.5,0
953,-31.1,0
954,-33.6,0
955,-31.7,0
956,-42.1,0
957,-34.8,0
958,-22.3,0
959,-34.9,0
960,-35.1,0
961,-40.8,0
962,-26.2,0
963,-24.7,0
964,-30.7,0
965,-26.5,0
966,-51.7,0
967,-27.0,0
968,-34.9,0
969,-25.9,0
970,-68.0,0
971,-27.9,0
972,-29.5,0
973,-29.5,0
974,-29.5,0
975,-28.6,0
976,-30.0,0
977,-21.1,0
978,-32.3,0
979,-59.7,0
980,-24.4,0
981,-27.2,0
982,-23.6,0
983,-26.3,0
984,-28.3,0
985,-26.4,0
986,-22.0,0
987,-30.4,0
988,-30.5,0
989,-27.7,0
990,-20.0,0
991,-26.1,0
992,-40.7,0
993,-26.7,0
994,-39.5,0
995,-20.9,0
996,-52.2,0
997,-25.4,0
998,-31.2,0
999,-39.3,0
1000,-30.5,0
