graine,score,invalides
836,-34.3,0
837,-221.3,0
838,-227.7,0
839,-221.3,0
840,-131.8,0
841,-227.8,0
842,-221.2,0
843,-133.8,0
844,-221.3,0
845,-227.7,0
846,-227.7,0
847,-220.8,0
848,-121.4,0
849,-220.2,0
850,-227.7,0
851,-34.3,0
852,-34.3,0
853,-227.8,0
854,-24.4,0
855,-221.3,0
856,-221.3,0
857,-122.4,0
858,-221.3,0
859,-121.4,0
860,-220.3,0
861,-220.8,0
862,-221.3,0
863,-222.3,0
864,-81.3,0
865,-221.2,0
866,-220.2,0
867,-121.4,0
868,-121.4,0
869,-227.8,0
870,-121.4,0
871,-246.7,0
872,-227.8,0
873,-27.4,0
874,-121.4,0
875,-227.8,0
876,-121.4,0
877,-227.8,0
878,-221.3,0
879,-221.2,0
880,-220.3,0
881,-221.3,0
882,-221.3,0
883,-246.8,0
884,-221.2,0
885,-221.3,0
886,-161.7,0
887,-121.4,0
888,-27.4,0
889,-220.3,0
890,-121.4,0
891,-220.3,0
892,-24.4,0
893,-221.3,0
894,-242.3,0
895,-121.4,0
896,-34.3,0
897,-168.6,0
898,-121.4,0
899,-132.8,0
900,-121.4,0
901,-227.7,0
902,-220.3,0
903,-227.8,0
904,-158.3,0
905,-221.3,0
906,-121.4,0
907,-227.8,0
908,-220.2,0
909,-221.3,0
910,-121.4,0
911,-121.4,0
912,-121.4,0
913,-220.3,0
914,-161.6,0
915,-221.3,0
916,-220.3,0
917,-221.3,0
918,-221.3,0
919,-221.2,0
920,-220.2,0
921,-221.3,0
922,-28.3,0
923,-221.2,0
924,-227.8,0
925,-121.4,0
926,-220.3,0
927,-227.7,0
928,-158.3,0
929,-121.4,0
930,-133.8,0
931,-221.2,0
932,-157.3,0
933,-158.3,0
934,-220.3,0
935,-121.4,0
936,-227.8,0
937,-220.3,0
938,-228.8,0
939,-221.3,0
940,-221.3,0
941,-121.4,0
942,-109.3,0
943,-227.8,0
944,-227.8,0
945,-227.8,0
946,-228.8,0
947,-220.3,0
948,-221.2,0
949,-221.3,0
950,-18.4,0
951,-121.4,0
952,-242.3,0
953,-220.3,0
954,-227.7,0
955,-221.3,0
956,-221.3,0
957,-122.4,0
958,-121.4,0
959,-220.2,0
960,-121.4,0
961,-221.2,0
962,-220.3,0
963,-220.3,0
964,-221.2,0
965,-221.3,0
966,-207.3,0
967,-227.8,0
968,-221.3,0
969,-220.3,0
970,-221.3,0
971,-227.8,0
972,-222.3,0
973,-220.3,0
974,-221.3,0
975,-157.3,0
976,-221.3,0
977,-121.4,0
978,-222.3,0
979,-25.3,0
980,-121.4,0
981,-227.8,0
982,-121.4,0
983,-227.7,0
984,-220.2,0
985,-121.4,0
986,-157.2,0
987,-121.4,0
988,-121.4,0
989,-220.3,0
990,-121.4,0
991,-227.7,0
992,-220.3,0
993,-121.4,0
994,-220.8,0
995,-221.3,0
996,-221.3,0
997,-227.7,0
998,-220.3,0
999,-121.4,0
1000,-121.4,0
